nomer subyekta,shirota,dolgota
31,50.598,36.586
32,53.242,34.365
33,56.128,40.408
36,51.659,39.197
37,56.999,40.973
40,54.506,36.252
44,57.803,40.991
46,51.730,36.193
48,52.610,39.595
50,55.832,37.329
57,52.967,36.070
62,54.625,39.7359992
67,54.787,31.815
68,52.721,41.452
69,56.859,35.912
71,54.192,37.615
76,57.622,39.898
77,55.756,37.618
10,61.789,34.360
11,61.669,50.836
29,64.539,40.517
83,67.638,53.007
35,59.248,39.836
39,54.707,20.507
47,59.565,30.128
51,69.008,33.069
53,58.521,31.276
60,57.819,28.332
78,59.939,30.316
1,44.610,40.101
8,46.308,44.270
23,45.040,38.976
30,46.366,48.0559979
34,48.707,44.517
61,47.222,39.719
91,44.948,34.100
92,44.557,33.526
5,42.985,47.505
6,43.169,44.813
7,43.485,43.607
9,44.227,42.047
15,43.021,44.682
20,43.190,45.420
26,45.020,41.580
2,54.735,55.958
12,56.370,47.530
13,54.181,45.186
16,55.470,49.060
18,56.853,53.211
21,56.144,47.249
59,58.010,56.234
43,54.079,34.308
52,56.324,44.005
56,51.788,55.102
58,53.175,45.035
63,53.195,50.107
64,51.530,45.953
73,54.308,48.375
45,55.444,65.316
66,56.839,60.605
72,57.153,65.534
86,61.002,69.018
89,66.549,66.608
74,55.160,61.401
4,51.958,85.960
3,51.833,107.58
17,51.719,94.438
19,53.722,91.444
22,53.348,83.780
75,52.034,113.50
24,56.000,92.520
38,52.286,104.281
42,55.391,86.047
54,55.028,82.921
55,54.985,73.367
70,56.485,84.948
14,62.028,129.733
41,53.010,158.390
25,43.116,131.882
27,48.465,135.060
28,50.291,127.527
49,59.568,150.809
65,46.959,142.738
79,48.795,132.922
87,64.731,177.502
